title,price,rating,reviews,availability,Category
Peter England Men's Everday Regular Fit Solid Shirt | Cotton Rich | 5-Pin Pocketing, ,4.0 out of 5 stars,554 ratings,Available to ship in 1-2 days,amazon_men shirt_data
Amazon Brand - Symbol Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Size and Combo Packs), ,3.8 out of 5 stars,"7,182 ratings",In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Cotton Shirt | Chinese Collar | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Size and Combo Packs), ,3.9 out of 5 stars,"6,603 ratings",In stock,amazon_men shirt_data
Lymio Casual Regular Fit Shirt for Men|| Regular Fit Shirt for Men|| Men Stylish Regular Fit Shirt (Rib-Regular Fit Shirt), ,3.7 out of 5 stars,"2,056 ratings",In stock,amazon_men shirt_data
Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear, ,2.8 out of 5 stars,55 ratings,In stock,amazon_men shirt_data
The Indian Garage Co Men Slim Fit Multi Striped Full Sleeves Cutaway Collar Casual Shirt, ,3.7 out of 5 stars,"1,340 ratings",In stock,amazon_men shirt_data
Majestic Man Men Classic Slim Fit Pure Cotton Casual Shirt, ,3.9 out of 5 stars,468 ratings,In stock,amazon_men shirt_data
CB-COLEBROOK Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirts, ,3.9 out of 5 stars,"1,381 ratings",In stock,amazon_men shirt_data
CB-COLEBROOK Men's Regular Fit Solid Soft Touch Cotton Casual Shirt with Pocket Design with Spread Collar & Full Sleeves, ,3.8 out of 5 stars,"2,180 ratings",In stock,amazon_men shirt_data
IndoPrimo Men's Stylish Solid Satin Casual Shirt for Men Full Sleeve, ,4.2 out of 5 stars,455 ratings,In stock,amazon_men shirt_data
TAGDO Men's Regular Fit Casual Shirt (5171), ,4.0 out of 5 stars,710 ratings,In stock,amazon_men shirt_data
Pinkmint Casual Shirt for Men Stylish Men's Shirt Soild Regular Fit Long Sleeve Formal Wear Purple, ,3.5 out of 5 stars,405 ratings,In stock,amazon_men shirt_data
Men's Regular Fit Poly Popcorn Casual Shirt, ,3.1 out of 5 stars,9 ratings,In stock,amazon_men shirt_data
Lymio Regular Fit Shirt for Men|| Men Stylish Regular Fit Shirt (Resort-Slub), ,4.8 out of 5 stars,125 ratings,In stock,amazon_men shirt_data
DEELMO Men's Cotton Blend Mandarin Collar Self One Design Full Sleeve Casual Short Kurta, ,3.4 out of 5 stars,"1,049 ratings",In stock,amazon_men shirt_data
DEELMO Men's Stylish Solid Satin Casual Shirt for Men Full Sleeves| Poly Satin Silk Shirt, ,4.1 out of 5 stars,671 ratings,In stock,amazon_men shirt_data
Leriya Fashion Textured Shirts for Men||Regular Fit Casual Shirt for Men||Fancy Shirt||Men Full Sleeve Shirt||Plain Shirts for Men, ,3.8 out of 5 stars,"1,774 ratings",In stock,amazon_men shirt_data
Van Heusen Solid Formal Shirt for Men| Premium Cotton| Full Sleeves| Slim Fit |Breathable Fabric, ,3.9 out of 5 stars,"3,169 ratings",In stock,amazon_men shirt_data
The Indian Garage Co Men Slim Fit Checkered Full Sleeves Spread Collar Casual Shirt, ,3.8 out of 5 stars,50 ratings,In stock,amazon_men shirt_data
Allen Solly Men's Solid Slim Fit Shirt, ,3.8 out of 5 stars,"4,077 ratings",In stock,amazon_men shirt_data
Dennis Lingo Men's Slim Fit Casual Shirts, ,3.8 out of 5 stars,"40,455 ratings",In stock,amazon_men shirt_data
Dennis Lingo Men's Checkered Slim Fit Cotton Casual Shirt, ,3.8 out of 5 stars,"4,850 ratings",In stock,amazon_men shirt_data
Allen Solly Men's Plain Slim fit Shirt, ,3.6 out of 5 stars,"12,308 ratings",In stock,amazon_men shirt_data
"campus sutra Men's Collared Button Up Regular Fit Shirt For Casual Wear | Premium Stretchable Cotton Regular Fit Shirt Crafted With Regular Sleeve, Comfort Fit & High-Performance For Everyday Wear", ,3.6 out of 5 stars,245 ratings,In stock,amazon_men shirt_data
Majestic Man Men Small Checkered Slim Fit Cotton Casual Shirt, ,4.0 out of 5 stars,543 ratings,In stock,amazon_men shirt_data
TAGAS Men's Hexa Pattern Button Up Full Sleeve Shirt|| Shirt for Mens ||Regular Shirt for Mens ||(MS-Hexa), ,4.3 out of 5 stars,78 ratings,In stock,amazon_men shirt_data
Allen Solly Men's Printed Slim Fit Shirt, ,4.2 out of 5 stars,76 ratings,In stock,amazon_men shirt_data
Dennis Lingo Men's Slim Fit Casual Shirt, ,4.0 out of 5 stars,"2,433 ratings",Available to ship in 1-2 days,amazon_men shirt_data
Peter England Men's Slim Fit Full Sleeve Pin-Striped Formal Shirt | Cotton-Rich | Wonder Fabric | Pin Point Oxford, ,4.2 out of 5 stars,106 ratings,In stock,amazon_men shirt_data
"Dennis Lingo Men's Cotton Buffalo Check Slim Fit Casual Shirt with Pocket, Full Sleeve Shirt for Formal & Casual Wear (Also Available in Plus Size)", ,4.0 out of 5 stars,"7,145 ratings",In stock,amazon_men shirt_data
Leriya Fashion for Casual Stylish Printed Regular Fit | Men Formal Half Sleeve Shirt, ,4.1 out of 5 stars,57 ratings,In stock,amazon_men shirt_data
